conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1928279792622633041,Fri May 30 02:38:22 +0000 2025,0,SUBANG 29 Mei 2025 Kementerian Sosial (Kemensos) Republik Indonesia hari ini menggelar Peringatan Hari Lanjut Usia Nasional (HLUN) tahun 2025 di Kabupaten Subang Jawa Barat dengan serangkaian kegiatan yang menunjukkan komitmen pemerintah terhadap kesejahteraan lansia. https://t.co/1gyHjtsYHK,1928279792622633041,https://pbs.twimg.com/media/GsKgPnVaUAA8sba.jpg,,in,,0,1,0,https://x.com/undefined/status/1928279792622633041,1575376528552370176,
1928279594634719449,Fri May 30 02:37:36 +0000 2025,0,Pangkat Pegawai Kehormat Pasukan Simpanan Sukarela Tentera Laut Diraja Malaysia (PSSTLDM) pada 29 Mei 2025. Ikhlas daripada Pengurusan Tertinggi dan Warga Kementerian Pendidikan Tinggi @ZambryOfficial @MustaphaSakmud_ #MalaysiaMADANI,1928279599697313973,,MOHEOfficial,in,,0,0,0,https://x.com/undefined/status/1928279599697313973,3269551369,
1928279594634719449,Fri May 30 02:37:35 +0000 2025,0,SEKALUNG TAHNIAH Pengurusan tertinggi dan warga Kementerian Pendidikan Tinggi (KPT) merakamkan sekalung tahniah kepada Ketua Pengarah Pendidikan Tinggi YBhg. Kepten (Kehormat) Datuk Prof. Dr. Azlinda binti Azman atas pemakaian https://t.co/oWeABDE99S,1928279594634719449,https://pbs.twimg.com/media/GsKgD_DaUAQ9Z2v.jpg,,in,,0,1,0,https://x.com/undefined/status/1928279594634719449,3269551369,
1928279089443459517,Fri May 30 02:35:35 +0000 2025,0,Malaysia mulakan projek rintis biodiesel sawit B20 pengangkutan darat https://t.co/7KhknznU2S,1928279089443459517,,,in,,0,0,0,https://x.com/undefined/status/1928279089443459517,426292945,
1928279011773534393,Fri May 30 02:35:16 +0000 2025,33,Ketua DPR RI Mbak @puanmaharani_ri angkat suara menyusul rencana Kementerian Kebudayaan di bawah menterinya (Fadli Zon) akan menghapus istilah orde lama dalam proyek penulisan ulang sejarah RI. Mbak Puan mengingatkan agar proyek penulisan ulang sejarah tak menyakiti pihak https://t.co/94vV3DFRQR,1928279011773534393,https://pbs.twimg.com/media/GsKfilQaUAEmNGm.jpg,,in,,1,2,24,https://x.com/undefined/status/1928279011773534393,1279643013455605760,
1928278982169924028,Fri May 30 02:35:09 +0000 2025,0,Sinergi dengan Kementerian LH Jaga Kualitas Lingkungan Hidup Lebih Baik https://t.co/VZcKkYAvEK,1928278982169924028,,,in,,0,0,0,https://x.com/undefined/status/1928278982169924028,1863452124,
1928278814712361385,Fri May 30 02:34:29 +0000 2025,0,Teken MoU dengan Kementerian LH Kapolri Komitmen Jaga Kualitas Lingkungan Hidup Jadi Lebih Baik https://t.co/sfdKVm0454,1928278814712361385,,,in,,0,0,0,https://x.com/undefined/status/1928278814712361385,1863452124,
1928278706381881517,Fri May 30 02:34:03 +0000 2025,7,Hai #Healthies Melanjutkan lawatannya ke Indonesia Menkes Swedia mengunjungi Puskesmas Tebet untuk melihat layanan ILP Ia terinspirasi peran kader dan komunitas dan ingin membawa ide ini pulang ke Swedia Intip momennya di video ini yuk! https://t.co/PzV4UdOAar,1928278706381881517,https://pbs.twimg.com/amplify_video_thumb/1928278465989820416/img/_Sr6pP2ps5eSnrZy.jpg,,in,,0,2,3,https://x.com/undefined/status/1928278706381881517,161236190,
1928278399627518456,Fri May 30 02:32:50 +0000 2025,0,Teken MoU dengan Kementerian LH Kapolri Komitmen Jaga Kualitas Lingkungan Hidup Jadi Lebih Baik https://t.co/sfdKVm0BUC,1928278399627518456,,,in,,0,0,0,https://x.com/undefined/status/1928278399627518456,1863452124,
1928277577338400867,Fri May 30 02:31:03 +0000 2025,0, Unduh Toolkit Pertemuan Tiga Pihak (Trilateral Meeting) Renja Kementerian/Lembaga melalui tuatan https://t.co/NAlHYT3DLB,1928277948588556700,,AnalisAnggaran,in,,0,0,1,https://x.com/undefined/status/1928277948588556700,1299889382590038016,
